Datos,Caracteristica,Observaciones
Edad,(0-10),344031
Edad,(10-20),146231
Edad,(30-40),123953
Edad,(40-50),84780
Edad,(20-30),47564
Edad,(50-60],37376
Edad,(60-70],19943
